Tipo de sorteo,Fecha,Primer Premio,Letras,Serie,Folio,Segundo Premio,Tercer Premio
Dominical,2022-10-23,8498,CABD,11,6,1097,8916
Intermedio,2022-10-26,6985,BCAD,19,13,1296,5577
Zodiaco,2022-10-28,3106,DDAA,7,18,0047,0085
Dominical,2022-10-30,9660,DCCD,7,7,6230,9763
Dominical,2022-09-04,3520,AADD,8,4,1616,7779
Intermedio,2022-09-07,7606,BDAC,11,8,1033,0637
Dominical,2022-09-11,3278,CBCB,5,2,4997,6666
Intermedio,2022-09-14,6080,CDAC,4,5,7861,3642
Dominical,2022-09-18,3266,DDAA,16,12,8321,6984
Intermedio,2022-09-21,3639,CACC,14,9,4680,0440
Dominical,2022-09-25,4898,CDAD,14,8,4525,2635
Intermedio,2022-09-28,1006,BBBC,22,3,9392,6417
Zodiaco,2022-09-30,4747,CDBA,7,24,0074,0080
Intermedio,2022-08-03,2032,BBBD,7,4,0776,5517
Dominical,2022-08-07,8595,CDBB,2,2,6034,9990
Intermedio,2022-08-10,8928,CDBC,10,2,6294,6851
Extraordinaria,2022-08-14,14527,ADAC,3,9,45101,24976
Intermedio,2022-08-17,3047,DDBA,20,15,6140,3092
Dominical,2022-08-21,0080,BBDD,24,7,5477,7079
Intermedio,2022-08-24,8432,CBDA,13,9,0458,2834
Zodiaco,2022-08-26,4201,CACC,8,21,0093,0069
Dominical,2022-08-28,3636,BCDB,22,5,3320,8432
Intermedio,2022-08-31,1342,CBCC,20,5,6307,3186
Zodiaco,2022-07-01,9016,CBCB,3,10,0067,0041
Dominical,2022-07-03,2114,DACB,14,6,8317,9963
Intermedio,2022-07-06,3029,DAAD,15,12,8754,2831
Dominical,2022-07-10,7479,ADAD,1,12,9318,0673
Intermedio,2022-07-14,3183,BCCC,1,8,7059,2741
Dominical,2022-07-18,7042,ACBA,18,3,4594,1453
Intermedio,2022-07-21,1741,CBAA,12,5,5135,6671
Dominical,2022-07-24,6896,DBDC,11,2,9613,1134
Intermedio,2022-07-27,1360,ADBA,11,13,3019,4457
Zodiaco,2022-07-29,7590,DBBC,3,10,0003,0053
Dominical,2022-07-31,3492,CDDD,21,5,5249,3799
Intermedio,2022-06-01,9914,ABCC,22,5,5652,6161
Dominical,2022-06-05,5380,BDBD,7,10,2276,4705
Intermedio,2022-06-08,2822,ACCD,20,6,4167,7949
Dominical,2022-06-12,4415,BCBB,21,14,1704,2966
Intermedio,2022-06-15,5881,AABB,5,8,2339,5082
Dominical,2022-06-19,5076,CACA,19,13,5084,3709
Intermedio,2022-06-22,2200,BCCC,20,14,9849,9854
Dominical,2022-06-26,3665,BDCA,16,7,3985,3639
Intermedio,2022-06-29,5727,BDBD,14,8,6958,5336
Dominical,2022-05-01,6220,ABDA,17,6,8143,8039
Intermedio,2022-05-04,9338,DBBD,15,8,4604,8396
Dominical,2022-05-08,6376,CCCA,3,8,9404,6093
Intermedio,2022-05-11,3640,CADC,4,7,4060,3510
Dominical,2022-05-15,4037,AADB,2,10,6303,1095
Intermedio,2022-05-18,3240,BBDD,18,9,1285,9697
Dominical,2022-05-22,4708,DBCA,18,6,4221,7747
Intermedio,2022-05-25,4701,ADCA,20,13,7622,4314
Zodiaco,2022-05-27,0731,CAAD,2,12,0040,0008
Dominical,2022-05-29,0913,AACA,25,10,8168,7499
Dominical,2022-04-03,5503,ABAD,22,13,8743,9648
Intermedio,2022-04-06,3910,BDAA,16,15,0043,2912
Dominical,2022-04-10,4957,BDAA,9,5,2853,7526
Intermedio,2022-04-13,9601,CBDB,8,6,0201,4630
Extraordinaria,2022-04-17,24004,AABC,1,4,41828,16739
Intermedio,2022-04-20,0050,AABB,4,15,4518,7004
Dominical,2022-04-24,6816,ACBD,14,5,7314,6954
Intermedio,2022-04-27,0066,CBAC,3,2,3733,3237
Zodiaco,2022-04-29,0231,CCCA,7,9,0058,0068
Intermedio,2022-03-02,8371,BAAC,13,9,4558,0924
Dominical,2022-03-06,9994,ABDA,8,11,1069,3195
Intermedio,2022-03-09,3667,AABC,18,15,5943,7058
Dominical,2022-03-13,0712,BBBC,14,3,6536,9826
Intermedio,2022-03-16,5202,CCDB,8,6,0766,6160
Dominical,2022-03-20,6274,BBBB,13,9,7696,5421
Intermedio,2022-03-23,2439,BDDB,7,1,1076,5496
Zodiaco,2022-03-25,7402,DDDA,5,3,0030,0047
Dominical,2022-03-27,3247,BBDC,26,13,3524,3257
Intermedio,2022-03-30,4251,ADAC,18,14,3388,2220
Intermedio,2022-02-02,6417,ABCC,18,5,8566,8692
