Tipo de sorteo,Fecha,Primer Premio,Letras,Serie,Folio,Segundo Premio,Tercer Premio
Intermedio,26-10-2022,6985,BCAD,19,13,1296,5577
Zodiaco,28-10-2022,3106,DDAA,7,18,47,85
Dominical,30-10-2022,9660,DCCD,7,7,6230,9763
Dominical,4/9/2022,3520,AADD,8,4,1616,7779
Intermedio,7/9/2022,7606,BDAC,11,8,1033,637
Dominical,11/9/2022,3278,CBCB,5,2,4997,6666
Intermedio,14-09-2022,6080,CDAC,4,5,7861,3642
Dominical,18-09-2022,3266,DDAA,16,12,8321,6984
Intermedio,21-09-2022,3639,CACC,14,9,4680,440
Dominical,25-09-2022,4898,CDAD,14,8,4525,2635
Intermedio,28-09-2022,1006,BBBC,22,3,9392,6417
Zodiaco,30-09-2022,4747,CDBA,7,24,74,80
Intermedio,3/8/2022,2032,BBBD,7,4,776,5517
Dominical,7/8/2022,8595,CDBB,2,2,6034,9990
Intermedio,10/8/2022,8928,CDBC,10,2,6294,6851
Extraordinaria,14-08-2022,14527,ADAC,3,9,45101,24976
Intermedio,17-08-2022,3047,DDBA,20,15,6140,3092
Dominical,21-08-2022,80,BBDD,24,7,5477,7079
Intermedio,24-08-2022,8432,CBDA,13,9,458,2834
Zodiaco,26-08-2022,4201,CACC,8,21,93,69
Dominical,28-08-2022,3636,BCDB,22,5,3320,8432
Intermedio,31-08-2022,1342,CBCC,20,5,6307,3186
Zodiaco,1/7/2022,9016,CBCB,3,10,67,41
Dominical,3/7/2022,2114,DACB,14,6,8317,9963
Intermedio,6/7/2022,3029,DAAD,15,12,8754,2831
Dominical,10/7/2022,7479,ADAD,1,12,9318,673
Intermedio,14-07-2022,3183,BCCC,1,8,7059,2741
Dominical,18-07-2022,7042,ACBA,18,3,4594,1453
Intermedio,21-07-2022,1741,CBAA,12,5,5135,6671
Dominical,24-07-2022,6896,DBDC,11,2,9613,1134
Intermedio,27-07-2022,1360,ADBA,11,13,3019,4457
Zodiaco,29-07-2022,7590,DBBC,3,10,3,53
Dominical,31-07-2022,3492,CDDD,21,5,5249,3799
Intermedio,1/6/2022,9914,ABCC,22,5,5652,6161
Dominical,5/6/2022,5380,BDBD,7,10,2276,4705
Intermedio,8/6/2022,2822,ACCD,20,6,4167,7949
Dominical,12/6/2022,4415,BCBB,21,14,1704,2966
Intermedio,15-06-2022,5881,AABB,5,8,2339,5082
Dominical,19-06-2022,5076,CACA,19,13,5084,3709
Intermedio,22-06-2022,2200,BCCC,20,14,9849,9854
Dominical,26-06-2022,3665,BDCA,16,7,3985,3639
Intermedio,29-06-2022,5727,BDBD,14,8,6958,5336
Dominical,1/5/2022,6220,ABDA,17,6,8143,8039
Intermedio,4/5/2022,9338,DBBD,15,8,4604,8396
Dominical,8/5/2022,6376,CCCA,3,8,9404,6093
Intermedio,11/5/2022,3640,CADC,4,7,4060,3510
Dominical,15-05-2022,4037,AADB,2,10,6303,1095
Intermedio,18-05-2022,3240,BBDD,18,9,1285,9697
Dominical,22-05-2022,4708,DBCA,18,6,4221,7747
Intermedio,25-05-2022,4701,ADCA,20,13,7622,4314
Zodiaco,27-05-2022,731,CAAD,2,12,40,8
Dominical,29-05-2022,913,AACA,25,10,8168,7499
Dominical,3/4/2022,5503,ABAD,22,13,8743,9648
Intermedio,6/4/2022,3910,BDAA,16,15,43,2912
Dominical,10/4/2022,4957,BDAA,9,5,2853,7526
Intermedio,13-04-2022,9601,CBDB,8,6,201,4630
Extraordinaria,17-04-2022,24004,AABC,1,4,41828,16739
Intermedio,20-04-2022,50,AABB,4,15,4518,7004
Dominical,24-04-2022,6816,ACBD,14,5,7314,6954
Intermedio,27-04-2022,66,CBAC,3,2,3733,3237
Zodiaco,29-04-2022,231,CCCA,7,9,58,68
Intermedio,2/3/2022,8371,BAAC,13,9,4558,924
Dominical,6/3/2022,9994,ABDA,8,11,1069,3195
Intermedio,9/3/2022,3667,AABC,18,15,5943,7058
Dominical,13-03-2022,712,BBBC,14,3,6536,9826
Intermedio,16-03-2022,5202,CCDB,8,6,766,6160
Dominical,20-03-2022,6274,BBBB,13,9,7696,5421
Intermedio,23-03-2022,2439,BDDB,7,1,1076,5496
Zodiaco,25-03-2022,7402,DDDA,5,3,30,47
Dominical,27-03-2022,3247,BBDC,26,13,3524,3257
Intermedio,30-03-2022,4251,ADAC,18,14,3388,2220
Intermedio,2/2/2022,6417,ABCC,18,5,8566,8692
Dominical,6/2/2022,2763,CCBD,20,8,2710,6554
Intermedio,9/2/2022,8676,BABC,7,9,8709,8509
Dominical,13-02-2022,9432,CBAB,11,12,3642,9859
Intermedio,16-02-2022,2616,DDBB,11,3,1781,8009
Dominical,20-02-2022,6646,BDCA,7,1,2385,8337
Intermedio,23-02-2022,90,ACAC,22,1,9907,7326
Zodiaco,25-02-2022,5871,ADAB,2,15,82,77
Dominical,27-02-2022,8349,BDDB,13,1,7431,3702
Dominical,3/1/2022,3019,BAAC,9,3,5237,8527
Intermedio,6/1/2022,8526,DDDB,19,13,3305,3235
Dominical,9/1/2022,234,CBBA,18,13,6702,2588
Intermedio,12/1/2022,8116,CDCD,11,6,5603,2345
Dominical,16-01-2022,4982,CABB,1,1,4286,3103
Intermedio,19-01-2022,8462,DCBB,8,15,1488,1223
Dominical,23-01-2022,5586,CDCA,18,13,343,2713
Intermedio,26-01-2022,34,AACC,14,8,9845,707
Zodiaco,28-01-2022,5969,BCCD,3,13,11,24
Dominical,30-01-2022,1369,BDAD,11,12,2776,5787
Intermedio,1/12/2021,8060,CBCB,7,7,6731,4420
Dominical,5/12/2021,7618,BBCB,22,15,2233,7147
Intermedio,9/12/2021,4382,CDDD,15,15,1856,9239
Extraordinaria,12/12/2021,44557,DACB,2,15,47698,5162
Intermedio,15-12-2021,1730,ABAA,11,7,6678,9139
Dominical,19-12-2021,7189,DBCC,12,10,3446,4690
Intermedio,22-12-2021,3154,CDDB,13,3,4632,9230
Dominical,26-12-2021,8613,CBCC,10,7,9170,8891
Intermedio,29-12-2021,7343,DBBC,12,3,2401,1074
Zodiaco,31-12-2021,7233,CCBC,3,9,53,73
Dominical,1/11/2021,8399,CDAD,8,8,1084,4395
Intermedio,4/11/2021,309,DBBB,18,11,8500,1630
Dominical,7/11/2021,8958,BABA,18,4,4629,3736
Intermedio,11/11/2021,7832,AACD,11,15,8716,9225
Dominical,14-11-2021,3120,ACDD,7,2,3308,7903
Intermedio,17-11-2021,9563,AADD,21,9,1728,6398
Dominical,21-11-2021,6004,DCAC,19,12,5112,9977
Intermedio,24-11-2021,1193,CDBD,14,7,8605,378
Zodiaco,26-11-2021,6591,CBDC,6,5,47,32
Dominical,28-11-2021,8708,ABBC,11,14,892,7864
Dominical,3/10/2021,7247,CACC,5,2,226,5995
Intermedio,6/10/2021,1378,ABDB,4,8,1944,905
